"","Group","Type","Biomass","PB","QB","EE","ProdCons","BioAcc","Unassim","DetInput","Detritus","Fishing","Fishing.disc"
"1","LMB0",0,0.272,0.53,7.6,NA,NA,0,0.2,NA,1,0,0
"2","LMB1",0,18.501,0.53,4.05,NA,NA,0,0.2,NA,1,0.1,0
"3","LEP",0,5.127,0.68,7.21,NA,NA,0,0.2,NA,1,0,0
"4","MSS",0,NA,1.12,14.64,0.8,NA,0,0.2,NA,1,0,0
"5","TFS",0,1.191,0.8,14.97,NA,NA,0,0.2,NA,1,0,0
"6","GSH",0,1.439,0.78,7.89,NA,NA,0,0.2,NA,1,0,0
"7","CRAP",0,16.108,0.58,7.14,NA,NA,0,0.2,NA,1,0,0
"8","GFCP",0,82.336,0.53,10.05,NA,NA,0,0.2,NA,1,0,0
"9","CAT",0,33.232,0.57,4.09,NA,NA,0,0.2,NA,1,0,0
"10","STB0",0,0.109,0.5,9.05,NA,NA,0,0.2,NA,1,0,0
"11","STB1",0,4.316,0.5,5.66,NA,NA,0,0.2,NA,1,0.2,0
"12","DEM",0,NA,0.7,13.28,0.8,NA,0,0.2,NA,1,0,0
"13","TP",0,7.713,0.69,9.21,NA,NA,0,0.2,NA,1,0,0
"14","SASU",0,47.919,0.55,13.58,NA,NA,0,0.2,NA,1,0,0
"15","HCH",0,0.839,0.58,9.44,NA,NA,0,0.2,NA,1,0,0
"16","SPM",0,3.08,0.41,4.59,NA,NA,0,0.2,NA,1,0,0
"17","Corbic",0,114.449,1.2,10,NA,NA,0,0.3,NA,1,0,0
"18","Procam",0,NA,2,10,0.8,NA,0,0.3,NA,1,0,0
"19","Gammar",0,587.8524,3,5,NA,NA,0,0.3,NA,1,0,0
"20","Coroph",0,NA,3,5,0.8,NA,0,0.3,NA,1,0,0
"21","Insect",0,293.4892,3,5,NA,NA,0,0.3,NA,1,0,0
"22","Shrimp",0,NA,2,12,0.8,NA,0,0.3,NA,1,0,0
"23","Clad",0,0.218,57.3,100,NA,NA,0,0.4,NA,1,0,0
"24","Cala",0,30.883,52.02,100,NA,NA,0,0.4,NA,1,0,0
"25","Cycl",0,0.636,49.7,100,NA,NA,0,0.4,NA,1,0,0
"26","Harp",0,NA,49.7,100,0.8,NA,0,0.4,NA,1,0,0
"27","SAV",1,874,220.01,NA,NA,NA,0,0,NA,1,0,0
"28","Phyto",1,213.91,209.88,NA,NA,NA,0,0,NA,1,0,0
"29","Algae",1,1077.647,133.23,NA,NA,NA,0,0,NA,1,0,0
"30","Detritus",2,NA,NA,NA,NA,NA,0,0,0,0,0,0
"31","Fishing",3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
