"SampleID","Longitude","Latitude","Project_na","Region","Type","Source","Date","Station","Microcystis","Chlorophyll","Secchi","Temperature","SalSurf","TurbidityNTU","TowType","Year","Month","BottomDepth","Tide","Datetime","DO","TurbidityFNU","SizeClass","Lifestage","Volume","CPUE","Taxon"
"20mm 501 2017-03-14 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-03-14 07:00:00,"501",NA,NA,31,14.4,0.0878922547868343,36.3,"Oblique",2017,NA,12.8016,"Flood",2017-03-14 12:32:00,NA,NA,"Meso","Adult",3.51493412771892,477.960592988486,"Cladocera"
"20mm 501 2017-03-28 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-03-28 07:00:00,"501",NA,NA,35,13.9,0.0711150393745217,37.8,"Oblique",2017,NA,9.144,"Flood",2017-03-28 12:55:00,NA,NA,"Meso","Adult",3.93703024082441,922.522758991932,"Cladocera"
"20mm 501 2017-04-11 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-04-11 07:00:00,"501",NA,NA,36,14.7,0.0845340757562894,44.6,"Oblique",2017,NA,10.668,"Low slack",2017-04-11 11:41:00,NA,NA,"Meso","Adult",4.00299124113607,750.938440511522,"Cladocera"
"20mm 501 2017-04-25 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-04-25 07:00:00,"501",NA,NA,58,15.1,0.0725519589829229,26,"Oblique",2017,NA,7.9248,"Flood",2017-04-25 12:28:00,NA,NA,"Meso","Adult",3.69435890634447,1123.87564534393,"Cladocera"
"20mm 501 2017-05-09 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-05-09 07:00:00,"501",NA,NA,73,19.6,0.101823874641556,22,"Oblique",2017,NA,10.668,"Flood",2017-05-09 13:59:00,NA,NA,"Meso","Adult",4.81705313387134,867.75044489506,"Cladocera"
"20mm 501 2017-05-24 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-05-24 07:00:00,"501",NA,NA,47,18.9,0.129314874234204,62.7,"Oblique",2017,NA,9.7536,"Flood",2017-05-24 12:11:00,NA,NA,"Meso","Adult",3.57356612799596,2566.06416995074,"Cladocera"
"20mm 501 2017-06-06 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-06-06 07:00:00,"501",NA,NA,42,20.7,0.112416296386264,27.2,"Oblique",2017,NA,7.9248,"Flood",2017-06-06 13:20:00,NA,NA,"Meso","Adult",3.83795301813405,379.798046494121,"Cladocera"
"20mm 501 2017-06-20 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-06-20 07:00:00,"501",NA,NA,48,22,3.60381634747069,29.8,"Oblique",2017,NA,7.0104,"Flood",2017-06-20 12:19:00,NA,NA,"Meso","Adult",3.88029835166747,65.394456045102,"Cladocera"
"20mm 501 2017-07-06 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2017-07-06 07:00:00,"501",NA,NA,32,21.7,0.863016308802334,31.2,"Oblique",2017,NA,10.668,"Flood",2017-07-06 11:32:00,NA,NA,"Meso","Adult",3.18540057060635,136.560533081464,"Cladocera"
"20mm 501 2018-03-13 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-03-13 07:00:00,"501",NA,NA,42,13.4,5.58500422936162,18.1,"Oblique",2018,NA,9.144,"Ebb",2018-03-13 15:38:00,NA,NA,"Meso","Adult",3.69435890634447,0,"Cladocera"
"20mm 501 2018-03-27 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-03-27 07:00:00,"501",NA,NA,35,14.5,0.150159582480745,38,"Oblique",2018,NA,6.7056,"Flood",2018-03-27 13:06:00,NA,NA,"Meso","Adult",3.48534668313468,560.059063692451,"Cladocera"
"20mm 501 2018-04-10 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-04-10 07:00:00,"501",NA,NA,80,15.7,0.0739890394320595,13.4,"Oblique",2018,NA,9.144,"Flood",2018-04-10 13:34:00,NA,NA,"Meso","Adult",3.56406557239551,577.43045356395,"Cladocera"
"20mm 501 2018-04-24 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-04-24 07:00:00,"501",NA,NA,47,16.8,1.59718378035633,61.5,"Oblique",2018,NA,9.144,"Flood",2018-04-24 10:45:00,NA,NA,"Meso","Adult",2.48643112285932,56.3056015157195,"Cladocera"
"20mm 501 2018-05-08 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-05-08 07:00:00,"501",NA,NA,27,17.6,2.05525181113589,39.5,"Oblique",2018,NA,9.144,"Ebb",2018-05-08 11:30:00,NA,NA,"Meso","Adult",2.62242479016855,1.52530589818857,"Cladocera"
"20mm 501 2018-05-22 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-05-22 07:00:00,"501",NA,NA,30,17.9,4.9048815660478,42,"Oblique",2018,NA,9.144,"Ebb",2018-05-22 12:09:00,NA,NA,"Meso","Adult",2.6300252346489,0,"Cladocera"
"20mm 501 2018-06-05 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-06-05 07:00:00,"501",NA,NA,28,20.5,NA,43.5,"Oblique",2018,NA,9.144,"Ebb",2018-06-05 12:30:00,NA,NA,"Meso","Adult",2.89359779144982,0,"Cladocera"
"20mm 501 2018-06-19 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2018-06-19 07:00:00,"501",NA,NA,38,19.3,9.03352714071519,38.2,"Oblique",2018,NA,12.8016,"Ebb",2018-06-19 10:41:00,NA,NA,"Meso","Adult",2.39278278908351,0,"Cladocera"
"20mm 501 2019-03-12 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-03-12 07:00:00,"501",NA,NA,28,11.5,0.0768637513938184,70.3,"Oblique",2019,NA,11.2776,"Ebb",2019-03-12 12:36:00,NA,NA,"Meso","Adult",4.30103724254432,554.284900492915,"Cladocera"
"20mm 501 2019-03-26 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-03-26 07:00:00,"501",NA,NA,50,14.2,0.0979773366123054,52.8,"Oblique",2019,NA,9.7536,"Ebb",2019-03-26 12:40:00,NA,NA,"Meso","Adult",3.25923345984409,927.825526234213,"Cladocera"
"20mm 501 2019-04-09 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-04-09 07:00:00,"501",NA,NA,42,15.1,0.0883721285150298,39.4,"Oblique",2019,NA,6.4008,"Ebb",2019-04-09 12:54:00,NA,NA,"Meso","Adult",3.45955946079062,1586.32914456276,"Cladocera"
"20mm 501 2019-04-23 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-04-23 07:00:00,"501",NA,NA,45,17,0.0735099936578621,26.1,"Oblique",2019,NA,10.9728,"Ebb",2019-04-23 10:53:00,NA,NA,"Meso","Adult",3.99864813000444,408.137937357891,"Cladocera"
"20mm 501 2019-05-08 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-05-08 07:00:00,"501",NA,NA,42,18.1,0.0730309670554583,23.5,"Oblique",2019,NA,8.5344,"Flood",2019-05-08 13:22:00,NA,NA,"Meso","Adult",4.68133091100784,710.268097515063,"Cladocera"
"20mm 501 2019-05-21 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-05-21 07:00:00,"501",NA,NA,40,16.7,0.0706360988006013,30.5,"Oblique",2019,NA,7.3152,"Ebb",2019-05-21 12:05:00,NA,NA,"Meso","Adult",2.92345668047979,1718.00048673056,"Cladocera"
"20mm 501 2019-06-04 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-06-04 07:00:00,"501",NA,NA,37,14.7,0.0711150393745217,23.2,"Oblique",2019,NA,10.3632,"Ebb",2019-06-04 10:40:00,NA,NA,"Meso","Adult",2.10803756551588,589.4107488051,"Cladocera"
"20mm 501 2019-06-19 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-06-19 07:00:00,"501",NA,NA,45,21.6,0.257731774625187,32.1,"Oblique",2019,NA,6.7056,"Flood",2019-06-19 15:04:00,NA,NA,"Meso","Adult",2.03854778740977,474.193772957826,"Cladocera"
"20mm 501 2019-07-02 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2019-07-02 07:00:00,"501",NA,NA,37,22.4,1.66052635913551,21.2,"Oblique",2019,NA,9.144,"Flood",2019-07-02 13:21:00,NA,NA,"Meso","Adult",3.39495568270759,14.7277327520586,"Cladocera"
"20mm 501 2020-03-17 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2020-03-17 07:00:00,"501",NA,NA,25,14,0.639582103424588,35,"Oblique",2020,NA,10.9728,"Ebb",2020-03-17 14:46:00,NA,NA,"Meso","Adult",4.94001746778567,0,"Cladocera"
"20mm 501 2020-05-15 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2020-05-15 07:00:00,"501",NA,NA,46,17.8,6.38239915233875,22.9,"Oblique",2020,NA,8.2296,"Flood",2020-05-15 06:34:00,NA,NA,"Meso","Adult",2.54343445646199,1.5726766576734,"Cladocera"
"20mm 501 2020-05-29 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2020-05-29 07:00:00,"501",NA,NA,26,20.8,8.05934867067292,NA,"Oblique",2020,NA,7.62,"Flood",2020-05-29 10:57:00,NA,NA,"Meso","Adult",0.704941225553019,0,"Cladocera"
"20mm 501 2020-06-25 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2020-06-25 07:00:00,"501",NA,NA,66,20,10.523017332516,18.7,"Oblique",2020,NA,12.192,"Ebb",2020-06-25 06:52:00,NA,NA,"Meso","Adult",3.98426157438091,0,"Cladocera"
"20mm 501 2020-07-10 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2020-07-10 07:00:00,"501",NA,NA,48,22,6.96623757676455,26.9,"Oblique",2020,NA,12.192,"Ebb",2020-07-10 12:24:00,NA,NA,"Meso","Adult",3.50027612764967,0,"Cladocera"
"20mm 501 2021-03-24 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-03-24 07:00:00,"501",NA,NA,58,12.8,7.30627637848697,20,"Oblique",2021,NA,10.3632,"Flood",2021-03-24 11:34:00,NA,NA,"Meso","Adult",3.01357623646115,0,"Cladocera"
"20mm 501 2021-04-06 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-04-06 07:00:00,"501",NA,NA,58,14.8,0.816548242885164,23.9,"Oblique",2021,NA,7.62,"Flood",2021-04-06 11:18:00,NA,NA,"Meso","Adult",3.48670390536332,0,"Cladocera"
"20mm 501 2021-04-21 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-04-21 07:00:00,"501",NA,NA,52,16,10.51660623304,18.1,"Oblique",2021,NA,12.192,"Ebb",2021-04-21 11:31:00,NA,NA,"Meso","Adult",2.70250090165801,0,"Cladocera"
"20mm 501 2021-05-05 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-05-05 07:00:00,"501",NA,NA,62,18.9,10.6063963303365,19.7,"Oblique",2021,NA,8.8392,"High slack",2021-05-05 11:30:00,NA,NA,"Meso","Adult",2.80754990215436,0,"Cladocera"
"20mm 501 2021-05-19 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-05-19 07:00:00,"501",NA,NA,27,17.1,11.5600981963089,52.2,"Oblique",2021,NA,12.8016,"Ebb",2021-05-19 13:00:00,NA,NA,"Meso","Adult",3.53284946113691,0,"Cladocera"
"20mm 501 2021-06-04 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-06-04 07:00:00,"501",NA,NA,41,19.3,12.1374581098941,19.3,"Oblique",2021,NA,9.4488,"Flood",2021-06-04 11:23:00,NA,NA,"Meso","Adult",2.45277201158917,0,"Cladocera"
"20mm 501 2021-06-30 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-06-30 07:00:00,"501",NA,NA,42,20.6,13.6291572012519,24.9,"Oblique",2021,NA,12.192,"Ebb",2021-06-30 11:45:00,NA,NA,"Meso","Adult",3.66015690618287,0,"Cladocera"
"20mm 501 2021-07-13 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2021-07-13 07:00:00,"501",NA,NA,67,21.1,0.0840544648519182,22.5,"Oblique",2021,NA,11.2776,"Ebb",2021-07-13 12:03:00,NA,NA,"Meso","Adult",3.58225235025922,0,"Cladocera"
"20mm 501 2022-03-24 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2022-03-24 07:00:00,"501",NA,NA,59,14.7,6.84911020908648,23.7,"Oblique",2022,NA,13.716,"Ebb",2022-03-24 09:57:00,NA,NA,"Meso","Adult",3.28800657109115,0,"Cladocera"
"20mm 501 2022-04-07 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2022-04-07 07:00:00,"501",NA,NA,64,16.8,5.50638454860155,25,"Oblique",2022,NA,9.144,"Ebb",2022-04-07 09:53:00,NA,NA,"Meso","Adult",3.12948301478658,0,"Cladocera"
"20mm 501 2022-04-21 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2022-04-21 07:00:00,"501",NA,NA,37,15.5,4.1220938969145,43.3,"Oblique",2022,NA,12.192,"Ebb",2022-04-21 09:57:00,NA,NA,"Meso","Adult",2.64766912362116,0,"Cladocera"
"20mm 501 2022-05-18 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2022-05-18 07:00:00,"501",NA,NA,22,17.6,9.89019258667302,97.6,"Oblique",2022,NA,9.144,"Ebb",2022-05-18 09:46:00,NA,NA,"Meso","Adult",1.98941634273318,0,"Cladocera"
"20mm 501 2022-06-03 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2022-06-03 07:00:00,"501",NA,NA,43,18.8,11.4824700850098,30.8,"Oblique",2022,NA,12.4968,"Ebb",2022-06-03 08:37:00,NA,NA,"Meso","Adult",2.92128512491397,0,"Cladocera"
"20mm 501 2022-06-16 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2022-06-16 07:00:00,"501",NA,NA,29,21,11.7738442802248,46.3,"Oblique",2022,NA,9.144,"Ebb",2022-06-16 09:43:00,NA,NA,"Meso","Adult",3.24186101531756,0,"Cladocera"
"20mm 501 2022-06-30 1",-122.02633,38.07333,NA,"Grizzly Bay","Outside","20mm",2022-06-30 07:00:00,"501",NA,NA,35,20,11.0371317787214,53.6,"Oblique",2022,NA,9.144,"Ebb",2022-06-30 08:56:00,NA,NA,"Meso","Adult",2.87188223579166,0,"Cladocera"
"20mm 508 2017-03-13 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-03-13 07:00:00,"508",NA,NA,51,14.7,0.100861987560788,23.3,"Oblique",2017,NA,17.0688,"Flood",2017-03-13 13:56:00,NA,NA,"Meso","Adult",2.01547500952298,607.301005577687,"Cladocera"
"20mm 508 2017-03-29 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-03-29 07:00:00,"508",NA,NA,47,13.1,0.0644109850301171,23.2,"Oblique",2017,NA,11.8872,"Ebb",2017-03-29 07:27:00,NA,NA,"Meso","Adult",5.27660858048715,375.24102267544,"Cladocera"
"20mm 508 2017-04-10 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-04-10 07:00:00,"508",NA,NA,81,15.7,0.0835748849042272,13.1,"Oblique",2017,NA,14.6304,"Flood",2017-04-10 13:06:00,NA,NA,"Meso","Adult",3.87541235164438,728.696650513008,"Cladocera"
"20mm 508 2017-04-24 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-04-24 07:00:00,"508",NA,NA,62,15.5,0.0668050598616411,17.7,"Oblique",2017,NA,12.192,"Low slack",2017-04-24 11:48:00,NA,NA,"Meso","Adult",3.74701912881551,1107.54705469355,"Cladocera"
"20mm 508 2017-05-08 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-05-08 07:00:00,"508",NA,NA,64,19.5,0.101823874641556,19.6,"Oblique",2017,NA,11.5824,"Flood",2017-05-08 11:56:00,NA,NA,"Meso","Adult",4.81651024497989,2777.11440849553,"Cladocera"
"20mm 508 2017-05-22 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-05-22 07:00:00,"508",NA,NA,59,18.9,0.0524402874859155,14.7,"Oblique",2017,NA,15.24,"Flood",2017-05-22 12:22:00,NA,NA,"Meso","Adult",3.77280635115957,5876.92500920045,"Cladocera"
"20mm 508 2017-06-05 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-06-05 07:00:00,"508",NA,NA,54,20.4,0.061538256406628,14.6,"Oblique",2017,NA,12.192,"Flood",2017-06-05 15:17:00,NA,NA,"Meso","Adult",4.05918024140156,954.872602223173,"Cladocera"
"20mm 508 2017-06-19 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-06-19 07:00:00,"508",NA,NA,58,21.7,0.110488767333648,15.1,"Oblique",2017,NA,13.4112,"Flood",2017-06-19 10:53:00,NA,NA,"Meso","Adult",3.97747546323773,441.863190921954,"Cladocera"
"20mm 508 2017-07-05 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2017-07-05 07:00:00,"508",NA,NA,43,21.9,1.84374955018142,29.1,"Oblique",2017,NA,16.4592,"Flood",2017-07-05 10:57:00,NA,NA,"Meso","Adult",3.55537935013225,935.202596560146,"Cladocera"
"20mm 508 2018-03-12 1",-121.91722,38.04717,NA,"Confluence","Outside","20mm",2018-03-12 07:00:00,"508",NA,NA,60,13.5,2.94913485292891,15.1,"Oblique",2018,NA,12.8016,"Flood",2018-03-12 14:02:00,NA,NA,"Meso","Adult",3.32845179350447,12.0175993169138,"Cladocera"
