"SampleID","Longitude","Latitude","Project_na","Region","Type","Source","Date","Station","Microcystis","Chlorophyll","Secchi","Temperature","SalSurf","TurbidityNTU","TowType","Year","Month","BottomDepth","Tide","Datetime","DO","TurbidityFNU","SizeClass","InsectGroup","Volume","Habitat","DistanceToBreach","CPUE"
"20mm 501 2017-03-14 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-03-14 07:00:00,"501",NA,NA,31,14.4,0.0878922547868343,36.3,"Oblique",2017,NA,12.8016,"Flood",2017-03-14 12:32:00,NA,NA,"Meso","Chironomid",3.51493412771892,"Open Water",475.273907867635,0
"20mm 501 2017-03-14 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-03-14 07:00:00,"501",NA,NA,31,14.4,0.0878922547868343,36.3,"Oblique",2017,NA,12.8016,"Flood",2017-03-14 12:32:00,NA,NA,"Meso","Other",3.51493412771892,"Open Water",475.273907867635,0
"20mm 501 2017-03-28 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-03-28 07:00:00,"501",NA,NA,35,13.9,0.0711150393745217,37.8,"Oblique",2017,NA,9.144,"Flood",2017-03-28 12:55:00,NA,NA,"Meso","Chironomid",3.93703024082441,"Open Water",475.273907867635,0
"20mm 501 2017-03-28 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-03-28 07:00:00,"501",NA,NA,35,13.9,0.0711150393745217,37.8,"Oblique",2017,NA,9.144,"Flood",2017-03-28 12:55:00,NA,NA,"Meso","Other",3.93703024082441,"Open Water",475.273907867635,0
"20mm 501 2017-04-11 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-04-11 07:00:00,"501",NA,NA,36,14.7,0.0845340757562894,44.6,"Oblique",2017,NA,10.668,"Low slack",2017-04-11 11:41:00,NA,NA,"Meso","Chironomid",4.00299124113607,"Open Water",475.273907867635,0
"20mm 501 2017-04-11 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-04-11 07:00:00,"501",NA,NA,36,14.7,0.0845340757562894,44.6,"Oblique",2017,NA,10.668,"Low slack",2017-04-11 11:41:00,NA,NA,"Meso","Other",4.00299124113607,"Open Water",475.273907867635,0
"20mm 501 2017-04-25 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-04-25 07:00:00,"501",NA,NA,58,15.1,0.0725519589829229,26,"Oblique",2017,NA,7.9248,"Flood",2017-04-25 12:28:00,NA,NA,"Meso","Chironomid",3.69435890634447,"Open Water",475.273907867635,0
"20mm 501 2017-04-25 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-04-25 07:00:00,"501",NA,NA,58,15.1,0.0725519589829229,26,"Oblique",2017,NA,7.9248,"Flood",2017-04-25 12:28:00,NA,NA,"Meso","Other",3.69435890634447,"Open Water",475.273907867635,0
"20mm 501 2017-05-09 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-05-09 07:00:00,"501",NA,NA,73,19.6,0.101823874641556,22,"Oblique",2017,NA,10.668,"Flood",2017-05-09 13:59:00,NA,NA,"Meso","Chironomid",4.81705313387134,"Open Water",475.273907867635,0
"20mm 501 2017-05-09 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-05-09 07:00:00,"501",NA,NA,73,19.6,0.101823874641556,22,"Oblique",2017,NA,10.668,"Flood",2017-05-09 13:59:00,NA,NA,"Meso","Other",4.81705313387134,"Open Water",475.273907867635,0
"20mm 501 2017-05-24 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-05-24 07:00:00,"501",NA,NA,47,18.9,0.129314874234204,62.7,"Oblique",2017,NA,9.7536,"Flood",2017-05-24 12:11:00,NA,NA,"Meso","Chironomid",3.57356612799596,"Open Water",475.273907867635,0
"20mm 501 2017-05-24 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-05-24 07:00:00,"501",NA,NA,47,18.9,0.129314874234204,62.7,"Oblique",2017,NA,9.7536,"Flood",2017-05-24 12:11:00,NA,NA,"Meso","Other",3.57356612799596,"Open Water",475.273907867635,0
"20mm 501 2017-06-06 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-06-06 07:00:00,"501",NA,NA,42,20.7,0.112416296386264,27.2,"Oblique",2017,NA,7.9248,"Flood",2017-06-06 13:20:00,NA,NA,"Meso","Chironomid",3.83795301813405,"Open Water",475.273907867635,0
"20mm 501 2017-06-06 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-06-06 07:00:00,"501",NA,NA,42,20.7,0.112416296386264,27.2,"Oblique",2017,NA,7.9248,"Flood",2017-06-06 13:20:00,NA,NA,"Meso","Other",3.83795301813405,"Open Water",475.273907867635,0
"20mm 501 2017-06-20 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-06-20 07:00:00,"501",NA,NA,48,22,3.60381634747069,29.8,"Oblique",2017,NA,7.0104,"Flood",2017-06-20 12:19:00,NA,NA,"Meso","Chironomid",3.88029835166747,"Open Water",475.273907867635,0
"20mm 501 2017-06-20 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-06-20 07:00:00,"501",NA,NA,48,22,3.60381634747069,29.8,"Oblique",2017,NA,7.0104,"Flood",2017-06-20 12:19:00,NA,NA,"Meso","Other",3.88029835166747,"Open Water",475.273907867635,0
"20mm 501 2017-07-06 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-07-06 07:00:00,"501",NA,NA,32,21.7,0.863016308802334,31.2,"Oblique",2017,NA,10.668,"Flood",2017-07-06 11:32:00,NA,NA,"Meso","Chironomid",3.18540057060635,"Open Water",475.273907867635,0
"20mm 501 2017-07-06 1",-122.02633,38.07333,"Ryer","Grizzly Bay","Outside","20mm",2017-07-06 07:00:00,"501",NA,NA,32,21.7,0.863016308802334,31.2,"Oblique",2017,NA,10.668,"Flood",2017-07-06 11:32:00,NA,NA,"Meso","Other",3.18540057060635,"Open Water",475.273907867635,0
