"Order","miSample ID","CommonName","Family","Genus","Species","length","TotalCount","Date","Location"
"Amphipoda","LP2","Crangonyx","Crangonycitidae","Crangonyx",,50.00,1.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,83.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,65.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,61.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,87.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,78.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,80.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,47.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,52.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,76.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,78.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,40.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,83.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,71.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,80.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,25.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,67.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,50.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP2","Hyalella","Hyalellidae","Hyalella",,39.00,22.00,2015-9-3 0:00:00,
"Amphipoda","LP7","Hyalella","Hyalellidae","Hyalella",,46.00,5.00,2015-8-17 0:00:00,"NW Liberty Island"
"Amphipoda","LP7","Hyalella","Hyalellidae","Hyalella",,55.00,5.00,2015-8-17 0:00:00,"NW Liberty Island"
"Amphipoda","LP7","Hyalella","Hyalellidae","Hyalella",,49.00,5.00,2015-8-17 0:00:00,"NW Liberty Island"
"Amphipoda","LP7","Hyalella","Hyalellidae","Hyalella",,33.00,5.00,2015-8-17 0:00:00,"NW Liberty Island"
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,45.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,65.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,50.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,52.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,43.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,58.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,62.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,55.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,40.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,48.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,57.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,50.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,43.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,60.00,21.00,2015-9-3 0:00:00,
"Amphipoda","LP9","Hyalella","Hyalellidae","Hyalella",,50.00,21.00,2015-9-3 0:00:00,
