Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
140,Twitchell Island,San Francisco Bay,5/1/2018,121,6.14, ,0.00, ,336,R,1.1, ,23.0, ,9.5, ,15.8, ,83, ,44, ,62, ,8.6, ,4.6, ,395.1, ,16.4, 
140,Twitchell Island,San Francisco Bay,5/2/2018,122,6.01, ,0.00, ,351,R,1.2, ,23.7, ,10.0, ,16.1, ,87, ,46, ,67, ,9.8, ,4.3, ,367.9, ,16.7, 
140,Twitchell Island,San Francisco Bay,5/3/2018,123,5.71, ,0.00, ,349,R,1.3, ,21.4, ,11.0, ,15.0, ,90, ,54, ,74, ,10.4, ,5.7, ,493.1, ,16.7, 
140,Twitchell Island,San Francisco Bay,5/4/2018,124,6.00, ,0.00, ,343,R,1.3, ,27.9, ,8.8, ,18.4, ,93, ,31, ,60, ,10.6, ,3.2, ,276.8, ,17.0, 
140,Twitchell Island,San Francisco Bay,5/5/2018,125,4.78, ,0.00, ,230, ,1.2, ,24.0, ,11.0, ,17.1, ,84, ,42, ,63, ,9.9, ,4.3, ,367.5, ,17.2, 
140,Twitchell Island,San Francisco Bay,5/6/2018,126,6.14, ,0.00, ,321, ,1.2, ,22.7, ,11.0, ,16.2, ,85, ,46, ,64, ,9.4, ,5.6, ,483.4, ,16.7, 
140,Twitchell Island,San Francisco Bay,5/7/2018,127,6.91, ,0.00, ,360,R,1.2, ,28.0, ,12.8, ,19.8, ,76, ,35, ,54, ,10.3, ,4.1, ,355.3, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/8/2018,128,7.47, ,0.00, ,356,R,1.3, ,26.1, ,10.2, ,19.2, ,84, ,37, ,57, ,10.5, ,5.4, ,463.1, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/9/2018,129,7.04, ,0.00, ,359,R,1.3, ,23.9, ,14.7, ,18.2, ,90, ,43, ,64, ,11.3, ,5.9, ,510.8, ,18.0, 
140,Twitchell Island,San Francisco Bay,5/10/2018,130,6.76, ,0.00, ,340, ,1.3, ,26.1, ,12.9, ,18.7, ,81, ,44, ,61, ,11.0, ,5.3, ,457.3, ,18.0, 
140,Twitchell Island,San Francisco Bay,5/11/2018,131,8.69, ,0.00, ,358,R,0.9, ,27.5, ,14.0, ,20.9, ,74, ,19, ,36, ,5.3, ,5.3, ,454.5, ,18.2, 
140,Twitchell Island,San Francisco Bay,5/12/2018,132,7.65, ,0.00, ,345,R,1.0, ,27.8, ,12.5, ,19.4, ,83, ,26, ,46, ,7.5, ,5.2, ,447.2, ,18.4, 
140,Twitchell Island,San Francisco Bay,5/13/2018,133,6.25, ,0.00, ,344,R,1.3, ,20.5, ,12.2, ,15.4, ,86, ,56, ,72, ,10.3, ,7.0,Y,600.7,Y,18.0, 
140,Twitchell Island,San Francisco Bay,5/14/2018,134,6.02, ,0.00, ,343, ,1.2, ,20.0, ,11.5, ,14.8, ,84, ,61, ,73, ,10.1, ,6.7, ,575.2, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/15/2018,135,6.17, ,0.00, ,330, ,1.2, ,20.1, ,12.4, ,15.4, ,82, ,54, ,68, ,9.6, ,6.1, ,531.0, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/16/2018,136,5.63, ,0.00, ,307, ,1.2, ,21.5, ,12.3, ,15.8, ,84, ,47, ,66, ,9.4, ,4.5, ,392.7, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/17/2018,137,6.22, ,0.00, ,342, ,1.3, ,25.3, ,12.1, ,17.2, ,85, ,45, ,67, ,11.1, ,4.7, ,405.8, ,18.0, 
140,Twitchell Island,San Francisco Bay,5/18/2018,138,6.14, ,0.00, ,339, ,1.4, ,25.1, ,10.9, ,17.3, ,89, ,54, ,70, ,11.8, ,4.6, ,398.6, ,18.3, 
140,Twitchell Island,San Francisco Bay,5/19/2018,139,6.65, ,0.00, ,347, ,1.2, ,22.1, ,12.6, ,16.4, ,79, ,52, ,65, ,9.8, ,5.8, ,502.9, ,18.4, 
140,Twitchell Island,San Francisco Bay,5/20/2018,140,5.55, ,0.00, ,303, ,1.2, ,21.2, ,9.2, ,15.0, ,91, ,54, ,70, ,9.6, ,4.2, ,360.2, ,18.1, 
140,Twitchell Island,San Francisco Bay,5/21/2018,141,6.31, ,0.00, ,340, ,1.3, ,25.9, ,8.5, ,17.3, ,94, ,48, ,67, ,11.1, ,3.6, ,307.7, ,18.1, 
140,Twitchell Island,San Francisco Bay,5/22/2018,142,5.86, ,0.00, ,340, ,1.3, ,22.0, ,10.6, ,16.0, ,91, ,58, ,74, ,11.4, ,4.5, ,385.3, ,18.6, 
140,Twitchell Island,San Francisco Bay,5/23/2018,143,5.81, ,0.00, ,333, ,1.3, ,19.8, ,12.4, ,15.3, ,84, ,60, ,74, ,10.7, ,5.7, ,495.8, ,18.4, 
140,Twitchell Island,San Francisco Bay,5/24/2018,144,5.62, ,0.00, ,310, ,1.2, ,20.1, ,11.8, ,14.9, ,85, ,59, ,73, ,10.1, ,6.0, ,516.2, ,18.0, 
140,Twitchell Island,San Francisco Bay,5/25/2018,145,1.93, ,0.20, ,120, ,1.2, ,19.1, ,12.6, ,15.2, ,86, ,57, ,71, ,9.9, ,2.7, ,233.2, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/26/2018,146,4.60, ,0.00, ,265, ,1.4, ,24.0, ,12.8, ,17.2, ,86, ,54, ,70, ,11.7, ,3.2, ,278.2, ,17.9, 
140,Twitchell Island,San Francisco Bay,5/27/2018,147,7.09, ,0.00, ,349, ,1.4, ,30.4, ,13.7, ,21.5, ,83, ,38, ,54, ,11.7, ,3.6, ,313.1, ,19.1, 
140,Twitchell Island,San Francisco Bay,5/28/2018,148,7.49, ,0.00, ,351, ,1.4, ,34.3, ,14.5, ,25.1, ,71, ,30, ,45, ,12.4, ,2.6, ,224.5, ,20.5, 
140,Twitchell Island,San Francisco Bay,5/29/2018,149,7.86, ,0.00, ,346, ,1.5, ,32.8, ,16.6, ,24.6, ,71, ,34, ,47, ,12.6, ,3.4, ,297.5, ,21.4, 
140,Twitchell Island,San Francisco Bay,5/30/2018,150,6.43, ,0.00, ,314, ,1.1, ,22.2, ,11.1, ,16.8, ,70, ,43, ,56, ,7.9, ,4.9, ,424.1, ,20.6, 
140,Twitchell Island,San Francisco Bay,5/31/2018,151,6.24, ,0.00, ,348, ,1.1, ,21.9, ,11.0, ,16.0, ,74, ,45, ,60, ,8.2, ,4.2, ,360.3, ,19.9, 
140,Twitchell Island,San Francisco Bay,6/1/2018,152,6.87, ,0.00, ,354, ,1.2, ,29.1, ,11.8, ,20.0, ,81, ,33, ,52, ,9.9, ,3.3, ,284.5, ,20.2, 
140,Twitchell Island,San Francisco Bay,6/2/2018,153,7.34, ,0.00, ,353, ,1.3, ,36.0,Y,14.4, ,25.2, ,66, ,25, ,41, ,10.9, ,2.2, ,187.3, ,21.2, 
