Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
140,Twitchell Island,San Francisco Bay,5/1/2018,0100,121,0.02, ,0.00, ,0, ,1.1, ,11.6, ,80, ,8.2, ,4.8, ,223, ,16.3, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0200,121,0.01, ,0.00, ,0, ,1.1, ,11.3, ,81, ,8.2, ,4.9, ,221, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0300,121,0.01, ,0.00, ,0, ,1.1, ,11.1, ,81, ,8.0, ,4.8, ,222, ,16.0, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0400,121,0.01, ,0.00, ,0, ,1.1, ,11.0, ,82, ,8.0, ,5.1, ,238, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0500,121,0.01, ,0.00, ,0, ,1.1, ,11.1, ,83, ,8.3, ,5.2, ,237, ,15.7, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0600,121,0.02, ,0.00, ,10, ,1.1, ,11.3, ,81, ,8.2, ,4.5, ,244, ,15.6, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0700,121,0.10, ,0.00, ,139, ,1.1, ,12.0, ,79, ,8.4, ,4.0, ,241, ,15.4, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0800,121,0.23, ,0.00, ,347, ,1.1, ,13.7, ,71, ,8.5, ,4.9, ,246, ,15.3, 
140,Twitchell Island,San Francisco Bay,5/1/2018,0900,121,0.41, ,0.00, ,662, ,1.2, ,15.6, ,65, ,9.1, ,4.6, ,252, ,15.3, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1000,121,0.54, ,0.00, ,828, ,1.2, ,17.6, ,57, ,9.1, ,3.7, ,264, ,15.3, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1100,121,0.64, ,0.00, ,939, ,1.2, ,19.1, ,53, ,9.4, ,3.2, ,262, ,15.4, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1200,121,0.70, ,0.00, ,995, ,1.2, ,20.6, ,51, ,10.1, ,3.3, ,244, ,15.7, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1300,121,0.74, ,0.00, ,1000, ,1.3, ,21.7, ,49, ,10.5, ,4.2, ,231, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1400,121,0.72, ,0.00, ,934, ,1.2, ,22.3, ,46, ,10.2, ,4.6, ,236, ,16.6, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1500,121,0.63, ,0.00, ,788, ,1.2, ,22.4, ,44, ,9.7, ,5.7, ,227, ,16.9, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1600,121,0.54, ,0.00, ,628, ,1.2, ,22.4, ,44, ,9.5, ,6.1, ,224, ,17.2, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1700,121,0.42, ,0.00, ,434, ,1.1, ,21.0, ,45, ,8.8, ,6.9, ,229, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1800,121,0.26, ,0.00, ,273, ,1.1, ,19.6, ,47, ,8.1, ,6.7, ,230, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/1/2018,1900,121,0.11, ,0.00, ,91, ,1.1, ,18.1, ,52, ,8.1, ,5.5, ,225, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/1/2018,2000,121,0.01, ,0.00, ,1, ,1.1, ,15.7, ,62, ,8.6, ,4.3, ,220, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/1/2018,2100,121,0.01, ,0.00, ,0, ,1.0, ,14.5, ,62, ,7.4, ,4.3, ,210, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/1/2018,2200,121,0.00, ,0.00, ,0, ,1.0, ,13.5, ,66, ,7.2, ,3.7, ,224, ,17.2, 
140,Twitchell Island,San Francisco Bay,5/1/2018,2300,121,0.00, ,0.00, ,0, ,1.0, ,11.8, ,75, ,7.5, ,2.8, ,50, ,17.0, 
140,Twitchell Island,San Francisco Bay,5/1/2018,2400,121,0.00, ,0.00, ,0, ,1.1, ,10.6, ,83, ,7.8, ,1.9, ,89, ,16.8, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0100,122,0.00, ,0.00, ,0, ,1.1, ,11.0, ,84, ,8.3, ,2.3, ,258, ,16.6, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0200,122,0.00, ,0.00, ,0, ,1.1, ,10.4, ,87, ,8.3, ,2.3, ,237, ,16.4, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0300,122,0.00, ,0.00, ,0, ,1.1, ,11.0, ,85, ,8.5, ,3.1, ,252, ,16.2, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0400,122,0.00, ,0.00, ,0, ,1.1, ,11.2, ,84, ,8.6, ,5.3, ,248, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0500,122,0.00, ,0.00, ,0, ,1.1, ,10.8, ,85, ,8.5, ,4.4, ,235, ,15.9, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0600,122,0.01, ,0.00, ,38, ,1.1, ,10.9, ,85, ,8.6, ,3.8, ,228, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0700,122,0.13, ,0.00, ,218, ,1.1, ,12.2, ,81, ,9.0, ,4.6, ,237, ,15.7, 
