sentinelsite,tier3site,subsite,cellid,centroid_x,centroid_y,plotsize,sampledate,samplemonth,sampleyear,biomassavg,biomassgr_avg,biomassmax,biomassmin,biocount,thatchavg,pcliveavg,pcdeadavg,pcsoilavg,pcwateravg,waterdavg,waterdmin,waterdmax,greennaip,waternaip,nonvegnaip,thatchdensity,sp1,pc_sp1,sp2,pc_sp2,sp3,pc_sp3,landsat,datediff,landsatdate,imagepath,imagerow,cfmaskversion,b1,b2,b3,b4,b5,b6,b7,cfmask,fullmask,nd_b_ae,nd_g_ae,nd_g_b,nd_nir_ae,nd_nir_b,nd_nir_g,nd_nir_r,nd_r_ae,nd_r_b,nd_r_g,nd_swir1_ae,nd_swir1_b,nd_swir1_g,nd_swir1_nir,nd_swir1_r,nd_swir2_ae,nd_swir2_b,nd_swir2_g,nd_swir2_nir,nd_swir2_r,nd_swir2_swir1,savi,wdrvi1,wdrvi2,wdrvi5,sr_b_ae,sr_g_ae,sr_g_b,sr_nir_ae,sr_nir_b,sr_nir_g,sr_nir_r,sr_r_ae,sr_r_b,sr_r_g,sr_swir1_ae,sr_swir1_b,sr_swir1_g,sr_swir1_nir,sr_swir1_r,sr_swir2_ae,sr_swir2_b,sr_swir2_g,sr_swir2_nir,sr_swir2_r,sr_swir2_swir1,uavdate,sentdate,rsdate,uavhvmin,uavhvmax,uavhvran,uavhvAVG,uavhvSTD,uavhvCV,uavhhMIN,uavhhMAX,uavhhAVG,uavhhSTD,uavhhCV,uavhvgrmin,uavhvgrmax,uavhvgrran,uavhvgrstd,uavhvgravg,uavhvgrcv,uavhhgrmin,uavhhgrmax,uavhhgrran,uavhhgrstd,uavhhgravg,uavhhgrcv,sentvhGrMIN,sentvhGrMAX,sentvhGrAVG,sentvhGrRAN,sentvhGrSTD,sentvvGrMIN,sentvvGrMAX,sentvvGrAVG,sentvvGrRAN,sentvvGrSTD,sentvvGrCV,sentvhGrCV,sentGrDP,sentvvAVG,sentvvMIN,sentvvMAX,sentvvSTD,sentvvRAN,sentvvCV,sentvhAVG,sentvhMIN,sentvhMAX,sentvhSTD,sentvhRAN,sentvhCV,sentDP,rshvAVG,rshvMAX,rshvMIN,rshvSTD,rshvRAN,rshvCV,rshhAVG,rshhMAX,rshhMIN,rshhRAN,rshhSTD,rshhCV,rsDP,rshhGrMIN,rshhGrMAX,rshhGrAVG,rshhGrRAN,rshhGrSTD,rshvGrMIN,rshvGrMAX,rshvGrAVG,rshvGrRAN,rshvGrSTD,rshhGrCV,rshvGrCV,rsGrDP,sentinelsite2
"CapeCod","OldCty","NA",2164853,-70.05624,41.96041,.25,"9/9/2015",9,2015,985.7,985.7,1260,601,3,"11","56.3","36",3,"0","0","0","0",100,0,0,"medium","Typha latifolia",94,"Thelypteris thelypteroides",3,"Spiraea latifolia",3,"8","3","9/6/2015","11","31","l8_surface_reflectance_0.4.0","225","251","379","307","2878","1386","649","0","0","0.0546","0.255","0.2032","0.855","0.8396","0.7673","0.8072","0.1541","0.1004","-0.105","0.7207","0.6933","0.5705","-0.3499","0.6373","0.4851","0.4422","0.2626","-0.632","0.3577","-0.3622","0.4712","-0.0323","0.3043","0.6483","1.1156","1.6844","1.51","12.7911","11.4661","7.5937","9.3746","1.3644","1.2231","0.81","6.16","5.5219","3.657","0.4816","4.5147","2.8844","2.5857","1.7124","0.2255","2.114","0.4683","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-16.76919","-14.58373","-16.14916","-18.61315","-24.62017","NA","NA","NA","NA","NA","NA","-8.471014","NA","NA","NA","NA","NA","NA","NA","-15.82701","-16.7552","-14.58373","-21.2287","-18.63463","-5.401693","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CapeCod"
"CapeCod","Cheq","NA",2001905,-70.07092,41.92947,.25,"9/8/2015",9,2015,864.3,444.1667,1263.5,469,3,"0","82","11.7",10.3,"0","0","0","0",51.39034,31.8,36.4,"none","Spartina alterniflora",100,"NA",0,"NA",0,"8","2","9/6/2015","11","31","l8_surface_reflectance_0.4.0","280","311","403","362","1267","802","436","0","0","0.0525","0.1801","0.1289","0.638","0.6058","0.5174","0.5556","0.1277","0.0758","-0.0536","0.4824","0.4412","0.3311","-0.2247","0.378","0.2179","0.1673","0.0393","-0.488","0.0927","-0.2956","0.2048","-0.4815","-0.1765","0.2727","1.1107","1.4393","1.2958","4.525","4.074","3.1439","3.5","1.2929","1.164","0.8983","2.8643","2.5788","1.9901","0.633","2.2155","1.5571","1.4019","1.0819","0.3441","1.2044","0.5436","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-17.53782","-16.66978","-17.08256","-24.08891","-28.1262","NA","NA","NA","NA","NA","NA","-11.04364","NA","NA","NA","NA","NA","NA","NA","-17.00037","-17.17031","-16.87334","-31.57814","-28.67164","-14.57777","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CapeCod"
"CapeCod","Cheq","NA",2004765,-70.07021,41.93002,.25,"9/8/2015",9,2015,565.8,416.5244,691.1,440.8,3,"0","62","13.7",27.7,"0","0","0","0",73.61689,45.6,25.5,"very low","Spartina alterniflora",76,"Spartina patens",25,"Salicornia europaea",1,"8","2","9/6/2015","11","31","l8_surface_reflectance_0.4.0","268","303","418","373","1468","907","473","0","0","0.0613","0.2187","0.1595","0.6912","0.6578","0.5567","0.5948","0.1638","0.1036","-0.0569","0.5438","0.4992","0.3691","-0.2362","0.4172","0.2767","0.2191","0.0617","-0.5126","0.1182","-0.3145","0.2401","-0.4352","-0.1191","0.3261","1.1306","1.5597","1.3795","5.4776","4.8449","3.512","3.9357","1.3918","1.231","0.8923","3.3843","2.9934","2.1699","0.6178","2.4316","1.7649","1.5611","1.1316","0.3222","1.2681","0.5215","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-16.53321","-15.28119","-15.76828","-21.29391","-25.52114","NA","NA","NA","NA","NA","NA","-9.752857","NA","NA","NA","NA","NA","NA","NA","-16.56606","-17.77778","-15.86414","-23.18997","-20.34511","-6.623908","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CapeCod"
"CapeCod","Scusset","NA",1299007,-70.5232,41.79169,.25,"9/16/2015",9,2015,1444.7,1444.7,1571.7,1317.7,2,"20","40","65.5",0,"0","0","0","0",100,0,0,"high","Phragmites australis",100,"NA",0,"NA",0,"8","10","9/6/2015","11","31","l8_surface_reflectance_0.4.0","308","335","498","409","2854","1841","828","0","0","0.042","0.2357","0.1957","0.8052","0.7899","0.7029","0.7493","0.1409","0.0995","-0.0981","0.7134","0.6921","0.5742","-0.2158","0.6364","0.4577","0.4239","0.2489","-0.5502","0.3387","-0.3795","0.4438","-0.178","0.1651","0.5545","1.0877","1.6169","1.4866","9.2662","8.5194","5.7309","6.978","1.3279","1.2209","0.8213","5.9773","5.4955","3.6968","0.6451","4.5012","2.6883","2.4716","1.6627","0.2901","2.0244","0.4498","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-18.05491","-16.19691","-17.37549","-20.78022","-26.24245","NA","NA","NA","NA","NA","NA","-8.866961","NA","NA","NA","NA","NA","NA","NA","-16.62191","-17.09307","-16.19691","-24.99644","-23.49129","-8.374529","NA","-21.30874","-18.70555","-28.78112","-20.65996","-19.15481","0.6487802","NA","NA","NA","NA","-20.65996","0.6487802","NA","NA","NA","NA","NA","NA","-40.93126","-5.167978","-14.01852","-5.16913","-13.75297","NA","0.2655492","NA","CapeCod"
"CapeCod","Sage","NA",58672,-70.50437,41.5574,.25,"8/10/2015",8,2015,557.9,557.9,712.8,287.5,3,"7.3","62","29.3",5,"0","1.8","0.5","3",100,0,0,"medium","Phragmites australis",100,"NA",0,"NA",0,"8","5","8/5/2015","11","31","l8_surface_reflectance_0.4.0","234","274","429","350","1943","1584","775","0","0","0.0787","0.2941","0.2205","0.785","0.7528","0.6383","0.6947","0.1986","0.1218","-0.1014","0.7426","0.7051","0.5738","-0.1018","0.6381","0.5362","0.4776","0.2874","-0.4297","0.3778","-0.3429","0.3276","-0.2861","0.0523","0.4703","1.1709","1.8333","1.5657","8.3034","7.0912","4.5291","5.5514","1.4957","1.2774","0.8159","6.7692","5.781","3.6923","0.8152","4.5257","3.312","2.8285","1.8065","0.3989","2.2143","0.4893","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-16.96251","-15.13854","-16.17281","-19.78633","-24.83875","NA","NA","NA","NA","NA","NA","-8.665939","NA","NA","NA","NA","NA","NA","NA","-16.65925","-17.59234","-16.10405","-24.30199","-21.47795","-7.642737","NA","-13.94","-9.46668","-29.1761","-12.00495","-9.513365","1.935049","NA","NA","NA","NA","-12.00495","1.935049","NA","NA","NA","NA","NA","NA","-57.21246","-7.559258","-16.86605","-7.559306","-16.72441","NA","0.1416446","NA","CapeCod"
"CapeCod","Cheq","NA",2006193,-70.07058,41.93029,.25,"9/8/2015",9,2015,206.3,0,285.5,115,3,"0","13","0.7",88,"0","0","0","0",0,100,0,"none","Spartina alterniflora",100,"NA",0,"NA",0,"8","2","9/6/2015","11","31","l8_surface_reflectance_0.4.0","309","356","501","529","1099","849","516","0","0","0.0707","0.237","0.1692","0.5611","0.5107","0.3738","0.3501","0.2625","0.1955","0.0272","0.4663","0.4091","0.2578","-0.1283","0.2322","0.2509","0.1835","0.0147","-0.361","-0.0124","-0.244","0.129","-0.656","-0.4129","0.019","1.1521","1.6214","1.4073","3.5566","3.0871","2.1936","2.0775","1.712","1.486","1.0559","2.7476","2.3848","1.6946","0.7725","1.6049","1.6699","1.4494","1.0299","0.4695","0.9754","0.6078","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-15.98476","-16.81146","-15.33233","-23.73171","-20.72871","-7.746952","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CapeCod"
"CapeCod","Sage","NA",47233,-70.50684,41.55521,.25,"8/13/2015",8,2015,218.9,218.9,268.3,129.9,3,"3.2","82","4.3",11.7,"0","0.5","0","1",100,0,0,"medium","Spartina alterniflora",100,"NA",0,"NA",0,"8","8","8/5/2015","11","31","l8_surface_reflectance_0.4.0","201","232","349","285","1517","859","393","0","0","0.0716","0.2691","0.2014","0.766","0.7347","0.6259","0.6837","0.1728","0.1025","-0.1009","0.6208","0.5747","0.4222","-0.2769","0.5017","0.3232","0.2576","0.0593","-0.5885","0.1593","-0.3722","0.2717","-0.3052","0.0313","0.4538","1.1542","1.7363","1.5043","7.5473","6.5388","4.3467","5.3228","1.4179","1.2284","0.8166","4.2736","3.7026","2.4613","0.5662","3.014","1.9552","1.694","1.1261","0.2591","1.3789","0.4575","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-19.31069","-16.12783","-17.30679","-18.97217","-24.06315","NA","NA","NA","NA","NA","NA","-6.756367","NA","NA","NA","NA","NA","NA","NA","-16.91258","-18.30105","-16.12783","-23.02516","-20.17602","-6.11258","NA","-14.80207","-12.42934","-24.1202","-15.68394","-12.73402","-0.8818647","NA","NA","NA","NA","-15.68394","-0.8818647","NA","NA","NA","NA","NA","NA","-52.83997","-8.050752","-15.79491","-8.050896","-15.71107","NA","0.0838394","NA","CapeCod"
"CapeCod","Sage","NA",41520,-70.50574,41.55415,.25,"8/13/2015",8,2015,238.8,238.8,357.6,144.6,3,"2","69","26",4.3,"0","0.3","0","0.5",100,0,0,"low","Distichlis spicata",38,"Juncus gerardii",25,"Plantago maritima",3,"8","8","8/5/2015","11","31","l8_surface_reflectance_0.4.0","350","383","541","509","2120","1475","787","0","0","0.045","0.2144","0.171","0.7166","0.694","0.5934","0.6128","0.1851","0.1413","-0.0305","0.6164","0.5877","0.4633","-0.1794","0.4869","0.3843","0.3453","0.1852","-0.4585","0.2145","-0.3042","0.3168","-0.4119","-0.0911","0.3512","1.0943","1.5457","1.4125","6.0571","5.5352","3.9187","4.165","1.4543","1.329","0.9409","4.2143","3.8512","2.7264","0.6958","2.8978","2.2486","2.0548","1.4547","0.3712","1.5462","0.5336","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-20.3658","-18.05092","-19.28","-21.88955","-27.32406","NA","NA","NA","NA","NA","NA","-8.044057","NA","NA","NA","NA","NA","NA","NA","-19.40146","-20.06533","-18.7911","-27.74198","-24.73803","-8.340513","NA","-15.09505","-11.71275","-22.98544","-14.88058","-12.04945","0.2144717","NA","NA","NA","NA","-14.88058","0.2144717","NA","NA","NA","NA","NA","NA","-58.86057","-8.643852","-17.57228","-8.643894","-16.70881","NA","0.8634673","NA","CapeCod"
"CapeCod","Cheq","NA",2007625,-70.0695,41.93056,.25,"9/8/2015",9,2015,909.7,385.5175,1424.2,601,3,"0","46.3","3",63.3,"0","0","0","0",42.37853,90.2,1,"none","Spartina alterniflora",100,"NA",0,"NA",0,"8","2","9/6/2015","11","31","l8_surface_reflectance_0.4.0","277","324","430","402","1281","758","406","0","0","0.0782","0.2164","0.1406","0.6444","0.5963","0.4974","0.5223","0.1841","0.1074","-0.0337","0.4647","0.4011","0.2761","-0.2565","0.3069","0.1889","0.1123","-0.0287","-0.5187","0.005","-0.3024","0.1973","-0.5167","-0.2215","0.2288","1.1697","1.5523","1.3272","4.6245","3.9537","2.9791","3.1866","1.4513","1.2407","0.9349","2.7365","2.3395","1.7628","0.5917","1.8856","1.4657","1.2531","0.9442","0.3169","1.01","0.5356","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-17.73057","-18.82348","-16.67127","-23.68796","-20.75204","-5.957385","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CapeCod"
"CapeCod","Sage","NA",57242,-70.50473,41.55713,.25,"8/10/2015",8,2015,452,452,628.4,280.9,3,"6","88","13",0,"0","0.7","0.5","1",100,0,0,"high","Distichlis spicata",76,"Spartina patens",38,"Scirpus olneyii",3,"8","5","8/5/2015","11","31","l8_surface_reflectance_0.4.0","279","324","444","416","2043","1639","819","0","0","0.0746","0.2282","0.1563","0.7597","0.7262","0.6429","0.6617","0.1971","0.1243","-0.0326","0.7091","0.6699","0.5737","-0.1097","0.5951","0.4918","0.4331","0.2969","-0.4277","0.3263","-0.3336","0.3272","-0.3413","-0.009","0.4212","1.1613","1.5914","1.3704","7.3226","6.3056","4.6014","4.9111","1.491","1.284","0.9369","5.8746","5.0586","3.6914","0.8023","3.9399","2.9355","2.5278","1.8446","0.4009","1.9688","0.4997","NA","8/16/2015","9/19/2015","NA","NA","NA","NA","NA","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-17.59503","-16.69736","-17.28725","-23.98516","-28.76769","NA","NA","NA","NA","NA","NA","-11.48044","NA","NA","NA","NA","NA","NA","NA","-17.19378","-17.48189","-16.69736","-26.98464","-24.51549","-9.79086","NA","-20.45899","-18.71262","-23.35772","-23.54785","-20.53798","-3.088861","NA","NA","NA","NA","-23.54785","-3.088861","NA","NA","NA","NA","NA","NA","-46.36388","-7.325173","-18.08147","-7.325715","-17.03477","NA","1.046693","NA","CapeCod"
