"VisitNo","SampleID_key","SampleID_frp","CommonName","Length","Count","StartTime","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthOfWater","NetMeterEnd","TowDirection","NetMeterStart","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","effort","LAB_NAME","Location","Date","Comments","FishCatchNotes"
1005,1538,"LAMOPE6-25FEB2019","Bluegill",123,1,"11:55",38.0393,NA,121.85685,NA,3.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.7529311,"FRP","Browns Island","2019-02-25"," ; More vegetation caught in net than the last lampara haul at 11:12;NA;NA",NA
1005,1538,"LAMOPE6-25FEB2019","Bluegill",114,1,"11:55",38.0393,NA,121.85685,NA,3.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.7529311,"FRP","Browns Island","2019-02-25"," ; More vegetation caught in net than the last lampara haul at 11:12;NA;NA",NA
1005,1538,"LAMOPE6-25FEB2019","Crayfish",NA,2,"11:55",38.0393,NA,121.85685,NA,3.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.7529311,"FRP","Browns Island","2019-02-25"," ; More vegetation caught in net than the last lampara haul at 11:12;NA;NA",NA
1005,1538,"LAMOPE6-25FEB2019","Golden Shiner",45,1,"11:55",38.0393,NA,121.85685,NA,3.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.7529311,"FRP","Browns Island","2019-02-25"," ; More vegetation caught in net than the last lampara haul at 11:12;NA;NA",NA
1005,1538,"LAMOPE6-25FEB2019","Largemouth Bass",225,1,"11:55",38.0393,NA,121.85685,NA,3.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.7529311,"FRP","Browns Island","2019-02-25"," ; More vegetation caught in net than the last lampara haul at 11:12;NA;NA",NA
1005,1538,"LAMOPE6-25FEB2019","Tule Perch",138,1,"11:55",38.0393,NA,121.85685,NA,3.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",322.7529311,"FRP","Browns Island","2019-02-25"," ; More vegetation caught in net than the last lampara haul at 11:12;NA;NA",NA
1010,1568,"LAMOPE6-15APR2019","Chinook Salmon (run unk)",61,1,"14:14",38.04653,NA,121.84753,NA,1.9,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.3022093,"FRP","Winter Island","2019-04-15"," Vegetation: 90 EURMIL; 10 POTCRI; All CHISAL - Fall-Run; Ad+; kept for Miranda Tillcock at UC Davis;NA;NA",NA
1010,1568,"LAMOPE6-15APR2019","Chinook Salmon (run unk)",55,1,"14:14",38.04653,NA,121.84753,NA,1.9,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.3022093,"FRP","Winter Island","2019-04-15"," Vegetation: 90 EURMIL; 10 POTCRI; All CHISAL - Fall-Run; Ad+; kept for Miranda Tillcock at UC Davis;NA;NA",NA
1010,1568,"LAMOPE6-15APR2019","Siberian Prawn",NA,13,"14:14",38.04653,NA,121.84753,NA,1.9,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.3022093,"FRP","Winter Island","2019-04-15"," Vegetation: 90 EURMIL; 10 POTCRI; All CHISAL - Fall-Run; Ad+; kept for Miranda Tillcock at UC Davis;NA;NA",NA
1010,1568,"LAMOPE6-15APR2019","Mississippi Silverside",74,1,"14:14",38.04653,NA,121.84753,NA,1.9,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.3022093,"FRP","Winter Island","2019-04-15"," Vegetation: 90 EURMIL; 10 POTCRI; All CHISAL - Fall-Run; Ad+; kept for Miranda Tillcock at UC Davis;NA;NA",NA
1010,1568,"LAMOPE6-15APR2019","Rainwater Killifish",33,1,"14:14",38.04653,NA,121.84753,NA,1.9,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.3022093,"FRP","Winter Island","2019-04-15"," Vegetation: 90 EURMIL; 10 POTCRI; All CHISAL - Fall-Run; Ad+; kept for Miranda Tillcock at UC Davis;NA;NA"," Rainwater Killifishweight=0.4g"
